Gen,Mean_DCT_Cx,Mean_DCT_Tx
hsa-miR-25-000403,0.002163373273413973,0.0016986239558260733
hsa-miR-26a-000405,0.020226998789569236,0.024509257299432295
hsa-miR-26b-000407,0.0010704400004234995,0.0037470112098768847
hsa-miR-27a-000408,0.011016045229756891,0.014507682590623266
hsa-miR-27b-000409,0.0028725825540110877,0.004513280430766737
hsa-miR-28-000411,0.0018357416182376216,0.0021685534057259916
hsa-miR-28-3p-002446,0.003864376481996478,0.0038802364698222115
hsa-miR-296-000527,0.0044631629572200624,0.0033704897782001475
hsa-miR-296-3p-002101,2.5109256470752614e-5,1.1538196232893747e-5
hsa-miR-298-002190,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-299-3p-001015,1.1133187508937528e-6,1.5087663029422198e-6
hsa-miR-299-5p-000600,6.145714264781625e-5,1.0965047206787121e-4
hsa-miR-29a-002112,0.5497109192803145,0.320714353004969
hsa-miR-29b-000413,2.1689983436649665e-4,2.17140668529007e-4
hsa-miR-29c-000587,0.0018027006590873803,0.0025795339657311224
hsa-miR-301-000528,2.495361236025135e-4,3.021788599487097e-4
hsa-miR-301b-002392,6.585869653745341e-6,1.0016581586458628e-5
hsa-miR-302a-000529,1.4625461197590746e-4,2.2640620529694943e-4
hsa-miR-302b-000531,1.5791788752211874e-4,0.0011440445845900607
hsa-miR-302c-000533,0.11048915743144509,0.13399085323319695
hsa-miR-30b-000602,0.03897033090133543,0.046759215968599284
hsa-miR-30c-000419,0.05251703611832289,0.058843717833226915
hsa-miR-31-002279,0.05581469795927049,0.09051044633637105
hsa-miR-32-002109,6.442323478408479e-6,2.9365266569550723e-6
hsa-miR-320-002277,0.020066189389270645,0.020593368033087214
hsa-miR-323-3p-002227,6.047100832643481e-4,7.832379445219683e-4
hsa-miR-324-3p-002161,0.0012652698594299472,0.001518318913133733
hsa-miR-324-5p-000539,3.4163738330147855e-4,4.375051526872862e-4
hsa-miR-325-000540,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-326-000542,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-328-000543,0.0016567289990393752,0.003032267481146522
hsa-miR-329-001101,2.4770352583032877e-5,5.973683968868104e-5
hsa-miR-330-000544,1.6732508107457085e-4,3.429880458131913e-4
hsa-miR-330-5p-002230,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-331-000545,0.013780086838112639,0.021294486954886532
hsa-miR-331-5p-002233,1.0087169574795285e-5,9.400241238570032e-6
hsa-miR-335-000546,0.001723003476852989,0.0019213162662067944
hsa-miR-337-5p-002156,1.7784124691561185e-4,2.0254358383219658e-4
hsa-miR-338-3p-002252,2.377099067909048e-6,1.2200853253523625e-6
hsa-miR-339-3p-002184,0.0010885095793698313,0.0010439307528076658
hsa-miR-339-5p-002257,0.0031129401516124407,0.003873779931319032
